region,district,municipality,origin,alert_date,alert_hour,village_area,vegetation_area,farming_area,village_veget_area,total_area,intentional_cause,max_temperature,precipitation,min_temperature,avg_temperature
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,fire,2015-03-21,00:02:00,0,17.749,0,17.749,17.749,0,19.4,0,6.4,11.9
Beira Litoral,Viseu,Nelas,fire,2015-03-21,08:35:00,1.5,0.784,0,2.284,2.284,0,17.8,0.3,4.7,13
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,firepit,2015-03-21,17:00:00,0,0.037,0,0.037,0.037,0,13.1,1.4,4.7,8.4
Entre Douro e Minho,Viana do Castelo,Valença,fire,2015-03-21,13:26:00,50,6.51,0,56.51,56.51,1,19.4,0,6.4,11.9
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2015-03-22,00:53:00,0,0.08,0,0.08,0.08,1,17.6,0,6.1,12.6
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,firepit,2015-03-22,14:56:00,0,0.05,0,0.05,0.05,1,17.6,0,6.1,12.6
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,firepit,2015-03-22,23:51:00,0,0.001,0,0.001,0.001,1,17.6,0,6.1,12.6
Alentejo,Beja,Serpa,agriculture,2015-05-20,17:30:00,0,0,1.4,0,1.4,0,25.7,0,9.4,18.4
Tras-dos-Montes,Vila Real,Chaves,firepit,2015-07-13,22:04:00,0,0.1,0,0.1,0.1,0,37.3,0,18.7,27.9
Ribatejo e Oeste,Setubal,Palmela,fire,2015-06-03,18:12:00,0,1.9405,0,1.9405,1.9405,0,30,0,15.7,21.9
Ribatejo e Oeste,Lisboa,Vila Franca de Xira,firepit,2015-06-04,20:39:00,0,0.5,0,0.5,0.5,0,28.6,0,16.4,22.7
Beira Litoral,Viseu,Tabuaço,firepit,2015-06-04,23:14:00,0,0.18,0,0.18,0.18,1,25.6,0,17.3,22.6
Tras-dos-Montes,Vila Real,Ribeira de Pena,agriculture,2015-06-05,13:10:00,0,0,0.01,0,0.01,0,31.9,0,13.6,21.7
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,firepit,2015-06-05,17:50:00,0,0.038,0,0.038,0.038,0,31.9,0,16,23.2
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,fire,2015-06-05,18:59:00,0,25.52,0,25.52,25.52,0,33.2,2.6,16,23.2
Ribatejo e Oeste,Santarém,Coruche,fire,2015-06-04,14:42:00,1.5,0.32,0,1.82,1.82,1,28.6,0,16.4,22.7
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,firepit,2015-07-07,23:56:00,0.019,0,0,0.019,0.019,1,35.1,0,14.6,24.2
Ribatejo e Oeste,Setubal,Montijo,firepit,2015-07-08,00:20:00,0,0.001,0,0.001,0.001,1,28.2,0,17.6,22.1
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,fire,2015-07-08,22:32:00,0,1,0,1,1,1,29.6,0,13.3,21.4
Entre Douro e Minho,Viana do Castelo,Caminha,fire,2015-06-06,16:50:00,0.1,1.2,0,1.3,1.3,1,31,0,12.7,21.4
Entre Douro e Minho,Porto,Paredes,firepit,2015-06-06,17:46:00,0,0.1,0,0.1,0.1,0,31.3,0,12.5,21.7
Entre Douro e Minho,Porto,Baião,firepit,2015-06-07,04:25:00,0,0.1,0,0.1,0.1,1,34,0,14.4,23.8
Entre Douro e Minho,Porto,Penafiel,firepit,2015-06-07,07:09:00,0.01,0,0,0.01,0.01,0,34,0,14.4,23.8
Beira Interior,Castelo Branco,Castelo Branco,firepit,2015-06-09,14:45:00,0.0126,0,0,0.0126,0.0126,0,32.3,0,20.6,25.7
Entre Douro e Minho,Porto,Pôvoa de Varzim,firepit,2015-05-21,18:51:00,0,0.05,0,0.05,0.05,0,21.9,0,7.6,14.8
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,fire,2015-05-22,13:54:00,1,0,0,1,1,0,23.9,0,7.6,15.4
Beira Interior,Castelo Branco,Penamacor,agriculture,2015-06-12,15:44:00,0,0,0.063,0,0.063,0,21.1,1.5,9.2,15.2
Ribatejo e Oeste,Setubal,Alcaçer do Sal,fire,2015-06-12,17:11:00,20.232,0,0,20.232,20.232,0,21.6,0,8.2,15.9
Beira Litoral,Aveiro,Ovar,firepit,2015-03-24,16:44:00,0,0.15,0,0.15,0.15,1,18.1,0,7.8,11.5
Beira Litoral,Aveiro,Aveiro,firepit,2015-03-24,19:14:00,0.2037,0,0,0.2037,0.2037,0,18.1,0,7.8,11.5
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,firepit,2015-07-08,23:52:00,0,0.3,0,0.3,0.3,1,29.6,0,13.3,21.4
Entre Douro e Minho,Porto,Penafiel,firepit,2015-07-30,18:14:00,0,0.15,0,0.15,0.15,0,26.7,0,17.2,21.7
Beira Interior,Guarda,Celorico da Beira,firepit,2015-07-31,05:44:00,0,0.05,0,0.05,0.05,0,29.2,0,17.6,22.5
Beira Litoral,Viseu,Viseu,firepit,2015-07-31,08:09:00,0,0.01,0,0.01,0.01,0,24.9,2,17.6,19.8
Tras-dos-Montes,Bragança,Carrazeda de Ansiães,firepit,2015-07-31,08:54:00,0,0.1,0,0.1,0.1,0,28.4,0,14.1,19.2
Entre Douro e Minho,Braga,Cabeceiras de Basto,fire,2015-07-31,14:54:00,0,1,0,1,1,1,28.4,0,17,20.8
Algarve,Faro,Albufeira,firepit,2015-08-01,14:10:00,0,3e-04,0,3e-04,3e-04,0,31.6,0,18,21.9
Tras-dos-Montes,Vila Real,Chaves,firepit,2015-06-10,22:09:00,0,0.01,0,0.01,0.01,0,26.5,22.4,13.5,16
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,firepit,2015-06-10,11:43:00,0,0.05,0,0.05,0.05,1,25,0,13.1,18.3
Entre Douro e Minho,Porto,Paredes,firepit,2015-06-11,18:23:00,0.1,0,0,0.1,0.1,0,20.6,0,11.5,14.4
Tras-dos-Montes,Vila Real,Valpaços,firepit,2015-07-06,13:53:00,0,0.8,0,0.8,0.8,0,35.8,0,15,25.3
Beira Litoral,Viseu,Viseu,fire,2015-07-06,15:21:00,10,2,0,12,12,1,29.7,0,12.9,19.5
Tras-dos-Montes,Vila Real,Chaves,firepit,2015-04-11,20:44:00,0,0.01,0,0.01,0.01,0,19.8,0,1.9,11.2
Tras-dos-Montes,Vila Real,Murça,fire,2015-04-12,16:40:00,9,9,0,18,18,1,21.7,0,8.7,14.6
Ribatejo e Oeste,Santarém,Alpiarca,firepit,2015-06-04,02:35:00,0,0.1267,0,0.1267,0.1267,1,28.6,0,16.4,22.7
Tras-dos-Montes,Vila Real,Chaves,fire,2015-06-04,16:56:00,0,3,0,3,3,0,35.6,0,17.3,22.6
Tras-dos-Montes,Bragança,Vila FLor,fire,2015-06-04,17:58:00,0,20,0,20,20,0,35.6,0,17.3,22.6
Tras-dos-Montes,Bragança,Bragança,firepit,2015-06-05,11:54:00,0,0.18,0,0.18,0.18,0,33.2,2.6,16,23.2
Tras-dos-Montes,Vila Real,Valpaços,fire,2015-03-24,20:40:00,0.5,4,0,4.5,4.5,0,17.4,0,3.9,9.5
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2015-03-25,14:28:00,0.25,1,0,1.25,1.25,1,13.8,1.3,3.7,8.2
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2015-03-25,20:51:00,0,0.1,0,0.1,0.1,1,13.8,1.3,3.7,8.2
Beira Litoral,Viseu,Tondela,firepit,2015-03-25,13:44:00,0.01,0.05,0,0.06,0.06,0,14.1,0,4.5,9.1
Tras-dos-Montes,Vila Real,Valpaços,fire,2015-03-25,18:45:00,0,2,0,2,2,0,12.8,0.4,1.4,6.8
Entre Douro e Minho,Braga,Fafe,firepit,2015-03-25,21:55:00,0,0.03,0,0.03,0.03,1,16.4,0.4,0.7,10.3
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,fire,2015-03-25,20:29:00,14.8,17,0,31.8,31.8,0,13.8,1.3,3.7,8.2
Beira Litoral,Viseu,Vouzela,firepit,2015-04-20,17:26:00,0,0.001,0,0.001,0.001,0,20.9,0,7.1,13.3
Beira Litoral,Viseu,Oliveira de Frades,firepit,2015-06-07,14:24:00,0.1,0,0,0.1,0.1,0,34,0,14.4,23.8
Ribatejo e Oeste,Santarém,Benavente,agriculture,2015-06-07,17:41:00,0,0,0.84,0,0.84,0,31.4,0,20.6,24.9
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,firepit,2015-06-07,17:57:00,0.03,0.02,0,0.05,0.05,1,31.3,0,16.6,24.6
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,firepit,2015-03-26,03:02:00,0,0.3,0,0.3,0.3,1,11.9,8,5.9,9.3
Ribatejo e Oeste,Santarém,Salvaterra de Magos,fire,2015-05-26,12:48:00,1.29,0,0.6,1.29,1.89,0,30.5,0,19.6,24.9
Entre Douro e Minho,Braga,Terras de Bouro,firepit,2015-03-18,00:15:00,0,0.6,0,0.6,0.6,0,19.1,0.3,7.4,12.1
Entre Douro e Minho,Braga,Barcelos,firepit,2015-06-08,05:33:00,0,0.02,0,0.02,0.02,0,33.7,0,19.5,26.1
Entre Douro e Minho,Viana do Castelo,Caminha,fire,2015-06-08,16:30:00,0.53,5,0,5.53,5.53,1,33.7,0,19.5,26.1
Entre Douro e Minho,Porto,Amarante,firepit,2015-07-06,22:45:00,0,0.02,0,0.02,0.02,1,25.4,0,14.1,19
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2015-07-13,13:19:00,0.1,0,0,0.1,0.1,0,31.6,0,14.6,22.8
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,firepit,2015-07-10,16:46:00,0,0.1,0,0.1,0.1,1,22.2,0,14.9,18.1
Ribatejo e Oeste,Santarém,Benavente,agriculture,2015-07-10,16:52:00,0,0,0.0015,0,0.0015,0,25.1,0,17.8,20.8
Alentejo,Évora,Évora,agriculture,2015-05-10,18:43:00,0,0,1,0,1,0,33.2,0,14.1,23.6
Entre Douro e Minho,Braga,Guimarães,fire,2015-06-18,13:42:00,1,2,0,3,3,0,34.2,0,16.6,24.7
Entre Douro e Minho,Porto,Paredes,firepit,2015-03-31,17:17:00,0,0.07,0,0.07,0.07,0,18.4,0,7.9,12.7
Entre Douro e Minho,Viana do Castelo,Vila Nova de Cerveira,fire,2015-06-21,16:26:00,7,0.5,0,7.5,7.5,0,33.6,0,19.3,26.1
Entre Douro e Minho,Viana do Castelo,Vila Nova de Cerveira,firepit,2015-06-22,15:46:00,0.02,0,0,0.02,0.02,0,26.6,0,16.8,19.8
Beira Litoral,Leiria,Caldas da Rainha,agriculture,2015-01-05,13:34:00,0,0,1e-04,0,1e-04,0,13.2,0,4.8,8
Beira Litoral,Viseu,Lamego,agric_burn,2015-04-03,22:54:00,0,0.5,0,0.5,0.5,0,26.4,0,13.5,20.1
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,firepit,2015-04-04,00:40:00,0.3,0.2,0,0.5,0.5,1,25,0,5.8,14.9
Entre Douro e Minho,Braga,Fafe,firepit,2015-04-04,01:48:00,0.35,0,0,0.35,0.35,1,25,0,5.8,14.9
Beira Interior,Guarda,Figueira de Castelo Rodrigo,fire,2015-04-04,13:16:00,0,3.12,0,3.12,3.12,0,21.2,0,4.7,11.3
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,fire,2015-04-04,15:37:00,2.5,0.5,0,3,3,1,25,0,5.8,14.9
Beira Litoral,Leiria,Batalha,agriculture,2015-06-19,15:08:00,0,0,0.002,0,0.002,0,35.5,0,20.2,26.6
Beira Litoral,Leiria,Alcobaça,agriculture,2015-06-19,23:50:00,0,0,0.004,0,0.004,0,32.3,0,20.5,26.6
Alentejo,Portalegre,Fronteira,agriculture,2015-07-04,12:51:00,0,0,0.052,0,0.052,0,35.5,0,12.2,24.4
Beira Litoral,Aveiro,Bragança,agric_burn,2015-07-04,23:43:00,0,0,0.0012,0,0.0012,0,29.6,0,15.1,20.9
Entre Douro e Minho,Braga,Fafe,firepit,2015-04-04,17:25:00,0,0.5,0,0.5,0.5,1,25,0,5.8,14.9
Beira Litoral,Viseu,Penalva do Castelo,firepit,2015-04-04,17:36:00,0.02,0.67,0,0.69,0.69,0,26.9,0,13.4,19.1
Tras-dos-Montes,Vila Real,Valpaços,fire,2015-04-04,20:26:00,146.8,62.7,0,209.5,209.5,0,19.4,0,2.8,11.3
Beira Interior,Castelo Branco,Castelo Branco,fire,2015-06-30,18:05:00,2.91,0,0,2.91,2.91,0,34.5,0,20.7,27.6
Beira Litoral,Viseu,Tondela,firepit,2015-03-27,12:31:00,0.04,0,0,0.04,0.04,0,17.5,1,7.7,12.8
Tras-dos-Montes,Vila Real,Valpaços,fire,2015-03-28,12:00:00,0,2,0,2,2,0,24.2,0,4.9,13.6
Tras-dos-Montes,Vila Real,Montalegre,fire,2015-03-28,16:15:00,0,3,0,3,3,0,21.1,0,4.9,13.6
Tras-dos-Montes,Vila Real,Alijó,fire,2015-03-28,17:55:00,0,2,0,2,2,0,24.2,0,4.9,13.6
Beira Interior,Guarda,Sabugal,agric_burn,2015-03-28,20:40:00,0,0.01,0,0.01,0.01,0,27,0,10.7,17.7
Beira Litoral,Viseu,Viseu,firepit,2015-03-30,07:06:00,0.5,0,0,0.5,0.5,0,20.9,0,9.2,12.7
Ribatejo e Oeste,Setubal,Montijo,agriculture,2015-05-26,08:57:00,0,0,0.004,0,0.004,0,30.5,0,19.6,24.9
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,firepit,2015-06-25,17:16:00,0,0.01,0,0.01,0.01,0,32.1,0,14.3,23.3
Beira Interior,Castelo Branco,Oleiros,firepit,2015-06-26,13:56:00,0.434,0,0,0.434,0.434,0,36,0,19,27.6
Beira Litoral,Aveiro,Vagos,agriculture,2015-06-13,02:20:00,0,0,0.0032,0,0.0032,0,19.9,6.6,9.1,14.7
Entre Douro e Minho,Viana do Castelo,Caminha,agriculture,2015-06-13,06:46:00,0,0,0.05,0,0.05,0,16.7,6.6,10.6,12.4
Beira Litoral,Leiria,Batalha,agriculture,2015-06-15,18:18:00,0,0,0.3,0,0.3,0,22.8,0,13.7,16.6
Alentejo,Portalegre,Elvas,agriculture,2015-06-16,01:55:00,0,0,0.0351,0,0.0351,0,29,0,14.4,22.8
Entre Douro e Minho,Braga,Cabeceiras de Basto,fire,2015-07-11,12:19:00,0.5,0.5,0,1,1,1,34,0,14.3,23.2
Entre Douro e Minho,Braga,Barcelos,firepit,2015-07-11,12:25:00,0.37,0,0,0.37,0.37,1,26.8,0,14.5,20.2
Ribatejo e Oeste,Setubal,Santiago do Cacém,agriculture,2015-07-11,11:51:00,0,0,0.1538,0,0.1538,0,28,0,14.8,23.7
Beira Litoral,Leiria,Pedrogão Grande,agriculture,2015-07-11,12:50:00,0,0,0.41,0,0.41,0,26.3,0,14.3,19.1
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2015-07-11,15:05:00,0,0.01,0,0.01,0.01,0,26.8,0,14.5,20.2
Entre Douro e Minho,Porto,Felgueiras,firepit,2015-07-11,16:48:00,0,0.05,0,0.05,0.05,1,26.8,0,14.5,20.2
Entre Douro e Minho,Viana do Castelo,Valença,agric_burn,2015-05-28,23:38:00,0,0.005,0,0.005,0.005,0,30.3,0,13.6,20.9
Entre Douro e Minho,Braga,Barcelos,firepit,2015-05-29,13:41:00,0.15,0,0,0.15,0.15,0,25.8,0,10.3,18.3
Ribatejo e Oeste,Santarém,Cartaxo,agriculture,2015-05-29,16:11:00,0,0,0.0012,0,0.0012,0,27.7,0,17.8,22.1
Alentejo,Beja,Beja,agriculture,2015-05-29,17:02:00,0,0,12.4,0,12.4,0,32.6,0,13.9,24.3
Entre Douro e Minho,Porto,Amarante,firepit,2015-06-28,21:50:00,0,0.02,0,0.02,0.02,0,37.1,0,14.5,25.3
Ribatejo e Oeste,Santarém,Rio Maior,firepit,2015-06-29,05:55:00,0,0.0432,0,0.0432,0.0432,0,34.1,0,19,26.8
Entre Douro e Minho,Braga,Cabeceiras de Basto,firepit,2015-06-29,14:46:00,0.46,0.1,0,0.56,0.56,1,40.2,0,14.2,27.6
Entre Douro e Minho,Porto,Paços de Ferreira,firepit,2015-06-29,18:21:00,0,0.05,0,0.05,0.05,0,33.5,0,17.7,23.9
Entre Douro e Minho,Porto,Maia,fire,2015-07-17,00:07:00,2.84,0.31,0,3.15,3.15,0,29.7,0,16.4,21.5
Ribatejo e Oeste,Setubal,Montijo,agriculture,2015-05-17,13:47:00,0,0,1.14,0,1.14,0,31.6,0,21.7,25.9
Ribatejo e Oeste,Santarém,Rio Maior,fire,2015-05-17,15:36:00,1.5743,0.159,0,1.7333,1.7333,0,31.6,0,21.7,25.9
Entre Douro e Minho,Viana do Castelo,Valença,agric_burn,2015-05-18,19:12:00,0,0.1,0,0.1,0.1,0,22.6,0,10.8,17
Entre Douro e Minho,Porto,Matosinhos,firepit,2015-06-24,01:40:00,0,0.005,0,0.005,0.005,0,24.8,0,11.8,17.7
Tras-dos-Montes,Bragança,Bragança,firepit,2015-06-05,23:21:00,0,0.034,0,0.034,0.034,0,33.2,2.6,16,23.2
Beira Litoral,Leiria,Caldas da Rainha,firepit,2015-06-06,10:39:00,0,0.001,0,0.001,0.001,0,30.6,0,18.9,24.4
Beira Interior,Castelo Branco,Castelo Branco,firepit,2015-06-06,21:04:00,0,0.0039,0,0.0039,0.0039,1,36.1,0,20.6,28.1
Entre Douro e Minho,Porto,Penafiel,firepit,2015-06-06,23:09:00,0,0.02,0,0.02,0.02,0,31.3,0,12.5,21.7
Beira Litoral,Leiria,Bombarral,agriculture,2015-07-09,00:19:00,0,0,0.002,0,0.002,0,26.9,0,17.2,21.4
Entre Douro e Minho,Porto,Marco de Canaveses,firepit,2015-07-09,09:39:00,0,0.05,0,0.05,0.05,1,34.4,0,15.5,21.6
Ribatejo e Oeste,Santarém,Coruche,firepit,2015-07-18,13:14:00,0,0.005,0,0.005,0.005,0,28,0,19.2,23.4
Entre Douro e Minho,Braga,Celorico de Basto,firepit,2015-07-18,14:12:00,0.15,0.15,0,0.3,0.3,1,29.1,0,16.8,22.6
Tras-dos-Montes,Vila Real,Chaves,firepit,2015-05-29,15:00:00,0,0.01,0,0.01,0.01,0,28.4,0,13.6,20.4
Entre Douro e Minho,Porto,Baião,firepit,2015-06-29,01:40:00,0,0.04,0,0.04,0.04,1,32.1,0,14.8,21.3
Tras-dos-Montes,Vila Real,Vila Real,firepit,2015-06-29,17:45:00,0,0.5,0,0.5,0.5,1,40.2,0,16.9,28.1
Algarve,Faro,Vila do Bispo,fire,2015-07-09,15:41:00,0,4.2,0,4.2,4.2,0,31.2,0,21,23.8
Entre Douro e Minho,Viana do Castelo,Valença,firepit,2015-07-09,18:16:00,0,0.3,0,0.3,0.3,0,34.4,0,15.5,23.2
Entre Douro e Minho,Porto,Penafiel,fire,2015-07-09,17:51:00,0,2.354,0,2.354,2.354,0,34.4,0,15.5,23.2
Ribatejo e Oeste,Santarém,Cartaxo,agriculture,2015-05-17,14:57:00,0,0,0.9535,0,0.9535,0,31.6,0,21.7,25.9
Beira Litoral,Coimbra,Figueira da Foz,agriculture,2015-05-17,19:23:00,0,0,0.002,0,0.002,0,31,0,16.7,22.3
Entre Douro e Minho,Porto,Lousada,firepit,2015-07-17,14:07:00,0.35,0,0,0.35,0.35,0,29.7,0,16.4,21.5
Entre Douro e Minho,Porto,Felgueiras,fire,2015-07-17,15:59:00,2,0,0,2,2,0,29.7,0,16.4,21.5
Beira Interior,Castelo Branco,Sertá,agriculture,2015-07-17,16:13:00,0,0,0.01,0,0.01,1,28.3,0,15.4,21.1
Entre Douro e Minho,Porto,Baião,fire,2015-07-17,19:11:00,0,10.7,0,10.7,10.7,1,28.3,0,15.4,21.1
Alentejo,Portalegre,Sousel,agriculture,2015-07-17,19:36:00,0,0,2,0,2,0,37.3,0,21.8,30.2
Ribatejo e Oeste,Santarém,Ourém,firepit,2015-06-30,22:17:00,0.0074,0,0,0.0074,0.0074,1,26.4,0.3,16.1,19.1
Beira Litoral,Leiria,Bombarral,agriculture,2015-07-01,08:34:00,0,0,0.001,0,0.001,0,23.9,2.3,17.6,19.9
Beira Litoral,Viseu,Moimenta da Beira,firepit,2015-07-23,11:54:00,0,0.056,0,0.056,0.056,0,28,0,15.5,23.7
Algarve,Faro,Olhão,agriculture,2015-05-24,09:18:00,0,0,0.2833,0,0.2833,0,23.1,5.1,17,20.1
Entre Douro e Minho,Braga,Vieira do Minho,firepit,2015-05-24,04:44:00,0,0.15,0,0.15,0.15,1,26,0,10.4,17.9
Entre Douro e Minho,Braga,Barcelos,fire,2015-05-24,11:19:00,1.5,0,0,1.5,1.5,0,26,0,10.4,17.9
Tras-dos-Montes,Bragança,Mirandela,firepit,2015-05-18,19:58:00,0,1e-04,0,1e-04,1e-04,0,28.1,0,9.5,19.2
Entre Douro e Minho,Porto,Vila do Conde,firepit,2015-06-24,01:25:00,0.02,0,0,0.02,0.02,0,24,0,13.9,17.7
Entre Douro e Minho,Braga,Cabeceiras de Basto,firepit,2015-06-27,16:54:00,0.01,0,0,0.01,0.01,1,36,0,14.3,25.1
Ribatejo e Oeste,Lisboa,Odivelas,agric_burn,2015-06-27,17:43:00,0,5e-04,0,5e-04,5e-04,0,33.9,0,19.5,26.1
Entre Douro e Minho,Porto,Matosinhos,firepit,2015-06-27,17:13:00,0,0.015,0,0.015,0.015,0,27.5,0,14.7,20.2
Ribatejo e Oeste,Santarém,Rio Maior,fire,2015-06-28,03:57:00,3.2989,0,0,3.2989,3.2989,1,34,0,21.8,25.9
Tras-dos-Montes,Bragança,Mirandela,agriculture,2015-07-20,13:22:00,0,0.01,0.8,0.01,0.81,1,35,0,16.6,25.4
Entre Douro e Minho,Viana do Castelo,Valença,agric_burn,2015-07-20,22:09:00,0,0.1,0,0.1,0.1,0,27.7,0,18.5,21.9
Entre Douro e Minho,Viana do Castelo,Valença,agric_burn,2015-07-20,22:43:00,0,0.1,0,0.1,0.1,0,27.7,0,18.5,21.9
Algarve,Faro,Loulé,agriculture,2015-06-20,07:31:00,0,0,0.3084,0,0.3084,0,33.5,0,18.4,25.5
Beira Litoral,Coimbra,Coimbra,firepit,2015-06-25,10:10:00,0,0.035,0,0.035,0.035,1,28.5,0,15.3,19.9
Beira Interior,Guarda,Guarda,firepit,2015-07-18,18:28:00,0,0.01,0,0.01,0.01,1,33.4,7.9,18.6,25.3
Entre Douro e Minho,Braga,Vila Nova de Famalição,firepit,2015-05-23,05:56:00,0,0.1,0,0.1,0.1,0,24.5,0,8.2,16.7
Entre Douro e Minho,Porto,Felgueiras,firepit,2015-05-23,15:45:00,0.01,0.01,0,0.02,0.02,0,24.5,0,8.2,16.7
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,fire,2015-05-21,14:33:00,1048,135,0,1183,1183,1,21.9,0,7.6,14.8
Beira Litoral,Aveiro,Vagos,agriculture,2015-06-28,00:02:00,0,0,0.0036,0,0.0036,0,29.8,0,14.2,20.3
Beira Litoral,Leiria,Figueiró dos Vinhos,firepit,2015-06-28,09:50:00,0.22,0,0,0.22,0.22,1,29.8,0,14.2,20.3
Ribatejo e Oeste,Santarém,Cartaxo,fire,2015-06-20,18:47:00,0,14.5261,0,14.5261,14.5261,0,33.2,0,22.4,27.1
Beira Litoral,Aveiro,Albergaria-a-Velha,firepit,2015-06-20,07:55:00,0.2,0,0,0.2,0.2,0,36.8,0,20.4,28.3
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,fire,2015-06-21,02:27:00,0,7.18,0,7.18,7.18,1,33.5,0,13.3,24.6
Beira Litoral,Aveiro,Ilhavo,agriculture,2015-06-21,12:25:00,0,0,0.11,0,0.11,0,34.6,0,22.7,25.9
Entre Douro e Minho,Porto,Maia,firepit,2015-06-28,13:50:00,0,0.15,0,0.15,0.15,0,28.2,0,14.2,20.9
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,agriculture,2015-07-20,11:47:00,0,0,0.02,0,0.02,1,27.7,0,18.5,21.9
Entre Douro e Minho,Porto,Penafiel,firepit,2015-03-24,07:16:00,0,0.02,0,0.02,0.02,0,14.2,0,5.2,9.3
Entre Douro e Minho,Porto,Paços de Ferreira,firepit,2015-07-14,15:50:00,0,0.1,0,0.1,0.1,0,30.3,0,17,23.2
Entre Douro e Minho,Porto,Lousada,firepit,2015-07-14,21:28:00,0.3,0,0,0.3,0.3,0,30.3,0,17,23.2
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2015-07-15,07:05:00,0.02,0,0,0.02,0.02,0,28.9,0,15.5,21.8
Ribatejo e Oeste,Santarém,Tomar,firepit,2015-07-15,11:13:00,0,0.114,0,0.114,0.114,0,27.2,0,15.5,18.7
Ribatejo e Oeste,Santarém,Ferreira do Zézere,firepit,2015-05-31,21:35:00,0,0.1068,0,0.1068,0.1068,1,23.9,0,13.8,17.8
Beira Litoral,Aveiro,Arouca,firepit,2015-06-01,00:50:00,0,0.3338,0,0.3338,0.3338,1,23,0,14.3,16.6
Beira Interior,Guarda,Vila Nova de Foz Côa,fire,2015-06-01,10:37:00,0,3.11,0,3.11,3.11,0,25.9,0,10.1,18.8
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2015-07-03,02:16:00,0,0.89,0,0.89,0.89,1,26.1,2.4,13.4,18.6
Alentejo,Portalegre,Elvas,agriculture,2015-07-03,17:58:00,0,0,0.1358,0,0.1358,0,36.2,0,16.5,25.9
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,fire,2015-03-24,14:01:00,0,8,0,8,8,0,14.2,0,5.2,9.3
Ribatejo e Oeste,Santarém,Santarém,firepit,2015-05-18,19:29:00,0,1e-04,0,1e-04,1e-04,0,25.1,0,16.4,18.8
Beira Litoral,Leiria,Leiria,agriculture,2015-05-19,13:12:00,0,0,0.04,0,0.04,0,19.7,0,12,14.4
Algarve,Faro,Olhão,agriculture,2015-05-19,15:29:00,0,0,1.3717,0,1.3717,0,28.9,0,15.7,21.7
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2015-05-20,08:08:00,0,0.01,0,0.01,0.01,1,17.1,0,7.5,12
Entre Douro e Minho,Porto,Felgueiras,firepit,2015-05-20,12:39:00,0,0.04,0,0.04,0.04,0,17.1,0,7.5,12
Beira Litoral,Viseu,Cinfães,firepit,2015-03-18,21:25:00,0,0.1,0,0.1,0.1,0,17,1.8,7.4,11
Beira Litoral,Viseu,Castro Daire,firepit,2015-03-18,21:56:00,0,0.01,0,0.01,0.01,1,17,1.8,2.8,11
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2015-03-19,12:16:00,2,0,0,2,2,1,19.3,0,8.3,13.2
Beira Litoral,Viseu,Lamego,agric_burn,2015-03-19,16:48:00,0,0.05,0,0.05,0.05,0,19.1,0,6.1,12.9
Tras-dos-Montes,Bragança,Mogadouro,fire,2015-03-19,18:33:00,0,1.5,0,1.5,1.5,0,12,0,7,9.1
Entre Douro e Minho,Braga,Terras de Bouro,fire,2015-03-20,03:05:00,5,35,0,40,40,0,20.1,0,8.5,14.3
Beira Litoral,Viseu,Tarouca,firepit,2015-03-20,10:33:00,0,0.1,0,0.1,0.1,0,20.5,0,10.1,15.5
Ribatejo e Oeste,Setubal,Setubal,firepit,2015-05-20,16:31:00,0,0.0455,0,0.0455,0.0455,0,21.8,0,12.6,16.6
Tras-dos-Montes,Vila Real,Montalegre,firepit,2015-07-04,16:31:00,0,0.069,0,0.069,0.069,1,30.9,0,17.6,23.3
